----- sTable
sDate,a_nDay_jd,dSunSet_h,dSunRise_h,r_dMoonRise_h,dMoonSet_h,Moon_sDate,dLit_100,dRa,dDec,MidN_sDate,dLit_100,dRa,dDec,Vega_sDate,dLit_100,dRa,dDec
1548-12-31T12:00:00,2286830,16.247777777777777,32.03333333333333,8.269444444444446,18.128055555555555,1548-12-31T18:07:41,2.355890989303589,-45.10603984360091,-12.59109901793908,1549-01-01T00:00:00,3.2045555114746094,-41.90970873421042,-11.60963025460072,1548-12-31T23:01:07,3.0368282794952393,-42.51346007989953,-11.76579060649931
1549-01-01T12:00:00,2286831,16.27138888888889,32.0225,8.745833333333332,19.18277777777778,1549-01-01T19:10:58,6.248416423797607,-32.868728535620605,-8.945038196238642,1549-01-02T00:00:00,7.328060150146484,-30.298179197718735,-8.079732450207366,1549-01-01T22:57:12,7.062794208526611,-30.918963022957467,-8.263295834090123
1549-01-02T12:00:00,2286832,16.29527777777778,32.01111111111111,9.175833333333333,20.261388888888888,1549-01-02T20:15:41,11.993912696838379,-20.711439228116408,-4.890734977905841,1549-01-03T00:00:00,13.100674629211426,-18.73809350759319,-4.202511575775144,1549-01-02T22:53:16,12.741692543029785,-19.37461467056583,-4.405140974955366
1549-01-03T12:00:00,2286833,16.31972222222222,31.99861111111111,9.5775,21.360277777777778,1549-01-03T21:21:37,19.453035354614258,-8.490028225832948,-0.5916782276905682,1549-01-04T00:00:00,20.39686393737793,-7.095724840871545,-0.11528538991217462,1549-01-03T22:47:22,19.94254493713379,-7.7662953252594775,-0.3329110855321479
1549-01-04T12:00:00,2286834,16.34472222222222,31.985277777777778,9.969444444444445,22.48222222222222,1549-01-04T22:28:56,28.422399520874023,3.9785664717498,3.7768375807664656,1549-01-05T00:00:00,29.039011001586914,4.791333984155872,4.032833434572546,1549-01-04T22:45:24,28.529020309448242,4.119056251296913,3.8232931272882262
1549-01-05T12:00:00,2286835,16.37027777777778,31.97111111111111,10.371111111111112,23.631944444444446,1549-01-05T23:37:55,38.62624740600586,16.90059853854261,8.018827756452776,1549-01-06T00:00:00,38.78812026977539,17.10293078902109,8.073434916370553,1549-01-05T22:41:28,38.23172378540039,16.407950977276794,7.878334255400478
1549-01-06T12:00:00,2286836,16.395833333333332,31.95638888888889,10.803333333333335,24.811944444444446,1549-01-07T00:48:43,49.6977653503418,30.481189059179684,11.905569877544554,1549-01-07T00:00:00,49.328216552734375,30.018936722111857,11.808982222344845,1549-01-06T22:37:32,48.750282287597656,29.29745818200845,11.641370731807406
1549-01-07T12:00:00,2286837,16.422222222222224,31.940555555555555,11.292777777777777,26.016111111111112,1549-01-08T02:00:58,61.151737213134766,44.881844246955026,15.167219722046788,1549-01-08T00:00:00,60.245849609375,43.68882462572053,15.005791689297466,1549-01-07T22:33:36,59.674095153808594,42.93836493104224,14.879184933295901
1549-01-08T12:00:00,2286838,16.448611111111113,31.924166666666668,11.87138888888889,27.22111111111111,1549-01-09T03:13:16,72.3602523803711,60.154107173135166,17.501769410635482,1549-01-09T00:00:00,71.01220703125,58.18437426814193,17.398311611139174,1549-01-08T22:29:40,70.47600555419922,57.40519822346031,17.325831811675464
1549-01-09T12:00:00,2286839,16.475555555555555,31.906944444444445,12.57638888888889,28.38388888888889,1549-01-10T04:23:02,82.56183624267578,76.16984783891714,18.61819951631698,1549-01-10T00:00:00,80.98391723632812,73.44483485038187,18.716763367548634,1549-01-09T22:25:44,80.51322937011719,72.64092611714572,18.709715434439946
1549-01-10T12:00:00,2286840,16.502777777777776,31.889166666666668,13.443055555555556,29.449166666666667,1549-01-11T05:26:57,90.93646240234375,92.60054941415096,18.315419382493435,1549-01-11T00:00:00,89.44185638427734,89.24412849088888,18.744058259110528,1549-01-10T22:21:48,89.06617736816406,88.42247750288044,18.81005472694485
1549-01-11T12:00:00,2286841,16.530277777777776,31.870555555555555,14.487777777777778,30.37472222222222,1549-01-12T06:22:29,96.7523422241211,109.00363395052048,16.562461137641606,1549-01-12T00:00:00,95.68202209472656,105.2224150610386,17.38797948524731,1549-01-11T22:17:52,95.42918395996094,104.38971619543162,17.52938904527062
1549-01-12T12:00:00,2286842,16.558055555555555,31.85111111111111,15.688055555555556,31.150277777777777,1549-01-13T07:09:01,99.52365112304688,124.97848761412665,13.524802890214175,1549-01-13T00:00:00,99.14779663085938,120.99032650407618,14.730948858753655,1549-01-12T22:13:56,99.04263305664062,120.14914608830455,14.944480449992412
1549-01-13T12:00:00,2286843,16.58611111111111,31.83111111111111,16.9875,31.795277777777777,1549-01-14T07:47:43,99.10663604736328,140.28530754870306,9.518765736203196,1549-01-14T00:00:00,99.55884552001953,136.25014238062465,11.022437013743124,1549-01-13T22:10:00,99.6209945678711,135.39640461458504,11.299931147678409
1549-01-14T12:00:00,2286844,16.614444444444445,31.810277777777777,18.32027777777778,32.34222222222222,1549-01-15T08:20:32,95.7022705078125,154.86576612411432,4.928253641894601,1549-01-15T00:00:00,96.97563171386719,150.8609018014422,6.616226817980814,1549-01-14T22:06:05,97.2170639038086,149.98422945768033,6.945908429416288
1549-01-15T12:00:00,2286845,16.643055555555556,31.788888888888888,19.636944444444445,32.82416666666667,1549-01-16T08:49:27,89.7766342163086,168.7956687684389,0.12825970796294084,1549-01-16T00:00:00,91.76588439941406,164.8281390327568,1.8894679006679262,1549-01-15T22:02:09,92.1889419555664,163.91368140321129,2.257072880674122
