sId,Const,name,name2,elatJ2000,elongJ2000,decJ2000,raJ2000,vmag
"HR 437","Psc","Alpherg","HIP 7097",5.378117061926714,26.81899772925803,15.347357453303225,22.873628887303283,7.500000476837158
"HR 2216","Gem","Propus","HIP 29655",-0.8879888034282751,93.44149225122652,22.506799475089974,93.72516469489973,6.000000476837158
"HR 360","Psc","φ Psc","HIP 5742",15.504401648594147,26.46211602333181,24.585832224856073,18.439532441035972,4.650000095367432
"HR 291","Psc","σ Psc","HIP 4889",23.082463615396907,27.215625235241696,31.806977570556338,15.706610524631158,5.5
"HR 226","And","ν And","HIP 3881",32.564648402858865,29.152836714853276,41.082485966039926,12.45551097401605,4.5
"HR 1791","Tau","Elnath","HIP 25428",5.383700044055121,82.58064369892796,28.60636790605708,81.5795267611839,1.6500000953674316
"HR 392","Cet","HIP 6432","HIP 6432",-6.466431625018183,19.733150745239577,1.7261879423514632,20.656586846214726,6.200000286102295
"HR 2287","Ori","HIP 30318","HIP 30318",-10.759105608575211,95.62021449552523,12.569874781705995,95.65712588151113,6.000000476837158
"HR 294","Psc","ε Psc","HIP 4906",1.0943830993707806,17.526724002802094,7.89119377417078,15.736929964175188,4.25
"HR 2159","Ori","ν Ori","HIP 29038",-8.658758218760216,91.85748091085883,14.768277290144562,91.89906095359072,4.400000095367432
"HR 211","Psc","57 Psc","HIP 3632",9.64202682333482,16.774065688470547,15.476729502295278,11.63838286197612,5.349999904632568
"HR 1990","Tau","130 Tau","HIP 27338",-5.677421690988818,86.99949122954744,17.729212981343125,86.86520188266817,5.450000286102295
"HR 1910","Tau","Tianguan","HIP 26451",-2.195743534915928,84.790397951336,21.142635982516822,84.41736539178302,2.950000286102295
"HIP 11767","UMi","Polaris","HIP 11767",66.1015187547659,88.58259182245837,89.26883221126172,38.253136338597734,1.9500000476837158
"HIP 91262","Lyr","Vega","HIP 91262",61.73672951158027,285.306841705025,38.78692090016878,-80.77167827983477,0
"HIP 37279","CMi","Procyon","HIP 37279",-16.02749101895061,115.78674830010128,5.217023102923339,114.82527538892553,0.40000009536743164
"HIP 36188","CMi","Gomeisa","HIP 36188",-13.486915147779385,112.19692957200792,8.288834367145201,111.79279198494544,2.8499999046325684
"HIP 54061","UMa","Dubhe","HIP 54061",49.677502687590376,135.20179696567666,61.74708322255275,165.93325947838568,2
"HIP 53910","UMa","Merak","HIP 53910",45.130273097307736,139.44072622401697,56.37781083463398,165.46409788066444,2.3000001907348633
"HIP 746","Cas","Caph","HIP 746",51.22158910521503,35.128560937249325,59.15962753118041,2.297601336586042,2.25
"HIP 24608","Aur","Capella","HIP 24608",22.86115616163911,81.86497229592653,45.99540741244311,79.18201677200554,0.04999995231628418
"HIP 69673","Boo","Arcturus","HIP 69673",30.715534118234057,204.2302913794628,19.164401142019443,-146.09591200775577,0.15000009536743164
"HIP 97649","Aql","Altair","HIP 97649",29.306972656810814,301.7761452240539,8.871712428151993,-62.305158527113335,0.75
"HIP 42911","Cnc","Asellus Australis","HIP 42911",0.07541408541154315,128.7268240960043,18.15134589037719,131.1756720942317,3.9000000953674316
"HIP 49669","Leo","Regulus","HIP 49669",0.4645022471818177,149.830011345966,11.966579817466952,152.09367882896802,1.3500001430511475
"HIP 47908","Leo","Algenubi","HIP 47908",9.714469470942571,140.7081828378246,23.772287873006295,146.4658285480225,2.950000286102295
"HIP 57632","Leo","Denebola","HIP 57632",12.263297808983955,171.61519547811025,14.569717639607756,177.26124965196783,2.0999999046325684
"HIP 65474","Vir","Spica","HIP 65474",-2.054681891306855,203.83873186254573,-11.160521486265681,-158.70430763399835,0.9500000476837158
"HIP 72622","Lib","Zubenelgenubi","HIP 72622",0.33230991186555975,225.07788740816008,-16.041102887340237,-137.2853445719944,2.75
"HIP 109074","Aqr","Sadalmelik","HIP 109074",10.662387315943784,333.350031645034,-0.319937858637349,-28.556543123120626,2.950000286102295
"HIP 107556","Cap","Deneb Algedi","HIP 107556",-2.6037193924738236,323.54016376352604,-16.13000695916487,-33.24145134387603,2.8499999046325684
"HIP 92855","Sgr","Nunki","HIP 92855",-3.4500657229255562,282.379735531744,-26.29778795893447,-76.18978347464993,2.0500001907348633
"HIP 80763","Sco","Antares","HIP 80763",-4.570001410286314,249.75678613427854,-26.431204219560517,-112.6541497632177,1.0499999523162842
"HIP 80763","Sco","Antares","HIP 80763",-4.570001410286314,249.75678613427854,-26.431204219560517,-112.6541497632177,1.0499999523162842
"Syrma","Vir","Syrma","HIP 69701",7.196383901125945,213.79451040080417,-6.002593799055313,-145.99992395612713,4.050000190734863
"Acrab","Sco","Acrab","HIP 78820",1.0075700267708758,243.18482276780037,-19.8046451004915,-118.6461626952787,2.5999999046325684
"Dabih","Cap","Dabih","HIP 100345",4.588801104400823,304.0429685474297,-14.78225317202883,-54.75167582824012,3.0500001907348633
"Ancha","Aqr","Ancha","HIP 110003",2.7064487059198425,333.26175714018564,-7.784283503309752,-25.792988646316285,4.15000
