DOT,x,y,star name,desig,view,const,name2,id1,elat,elong,dec,RA,Mag,
15,53.85233,64.36998,Wasat,HR 2777,g,Gem,Wasat,HIP 35550,-0.17844208,108.5246902,21.98152794,110.03649036,3.5,"16 HR 2777  35550   δ Gem   Gem     From the Arabic word wasat, ""middle,"" used by a sci-A commentator who was speculating on the meaning of the ind-A constellation name al-jauza'. Reference was made to al-jauza's being in the ""middle"" (wasat) of the sky (perhaps meaning the celestial equator). The reference was intended to apply to the ind-A figure located in today's Orion, however it was under the constellation which is today Gemini that the reference appeared (note the confusion between Orion and Gemini mentioned under α Ori). Therefore, after  transliteration into Latin, it was in Gemini (to δ) that the word ""Wasat"" was arbitrarily applied as a star name in recent times.  Arabic"
53,0,0,Gomeisa,HIP 36188,z,CMi,Little Dog,HIP 36188,-13.4869151,112.1969295,8.288834367,111.79279198,2.84,Lunar Leap Year
30,101.2925,141.9865,,HR 211,p,Psc,57 Psc,HIP 3632,9.642026823,16.77406568,15.4767295,11.638382861,5.34,
3,70.83071,28.24098,Castor,HR 2891,g,Gem,Castor,HIP 36850,10.09375094,110.2445114,31.88560856,113.65401298,1.9,"2  HR 2891   36850   α Gem   Gem     From its ancient Greek name Κάστωρ, a character in Greek mythology, the twin of Pollux (β Gem). Reapplied in Renaissance times. Greek   Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub."
5,57.53873,40.46251,,HR 2905,g,Gem,υ Gem,HIP 36962,5.214980108,111.3497335,26.89384299,113.98638207,4.05,
52,0,0,Procyon,HIP 37279,z,CMi,Little Dog,HIP 37279,-16.027491,115.7867482,5.217023103,114.82527538,0.4,Lunar Leap Year
27,156.8717,121.4289,,HR 226,p,And,ν And,HIP 3881,32.5646484,29.15283671,41.08248596,12.455510973,4.5,
60,0,0,Asellus Australis,HIP 42911,z,Cnc,Asellus Australis,HIP 42911,0.075414085,128.726824,18.15134589,131.17567209,3.9,1 Cancer
62,0,0,Algenubi,HIP 47908,z,Leo,Algenubi,HIP 47908,9.71446947,140.7081828,23.77228787,146.46582854,2.95,
26,139.006,130.4405,,HR 291,p,Psc,σ Psc,HIP 4889,23.08246361,27.21562523,31.80697757,15.706610523,5.5,
29,85.68202,138.646,,HR 294,p,Psc,ε Psc,HIP 4906,1.094383099,17.526724,7.891193773,15.736929963,4.25,
61,0,0,Regulus,HIP 49669,z,Leo,Regulus,HIP 49669,0.464502247,149.8300113,11.96657981,152.09367882,1.35,2 Leo
55,0,0,Merak,HIP 53910,z,UMa,Big Dipper,HIP 53910,45.13027309,139.4407262,56.37781083,165.46409787,2.3,Calendar
54,0,0,Dubhe,HIP 54061,z,UMa,Big Dipper,HIP 54061,49.67750268,135.2017969,61.74708322,165.93325947,2,Calendar
25,116.5119,127.7836,,HR 360,p,Psc,φ Psc,HIP 5742,15.50440164,26.46211602,24.58583222,18.43953244,4.65,
63,0,0,Denebola,HIP 57632,z,Leo,Denebola,HIP 57632,12.2632978,171.6151954,14.56971764,177.26124965,2.09,
