1936-12-10T12:00:00, mset,-12-11 14:03:15, gib,1936-12-22T00:54:38, ful,Vega,1936-12-29T00:05:27,lit,98.9818,dec,20.4567,ra,102.731 ,ovr:,-2.53 day,135.68
1937-12-29T12:00:00, mset,-12-30 14:20:24, gib,1938-01-10T01:16:38, ful,Vega,1938-01-16T22:51:44,lit,99.0063,dec,15.1325,ra,121.322 ,ovr:,-11.4 day,154.44
1938-12-19T12:00:00, mset,-12-20 15:15:13, gib,1938-12-30T00:25:26, ful,Vega,1939-01-05T23:35:58,lit,99.7996,dec,18.1348,ra,100.039 ,ovr:,0.894 day,143.20
1940-01-06T12:00:00, mset,-01-07 14:44:45, gib,1940-01-18T01:02:07, ful,Vega,1940-01-24T22:22:15,lit,99.7720,dec,14.8146,ra,118.719 ,ovr:,-9.41 day,161.95
1940-12-26T12:00:00, mset,-12-27 15:14:28, gib,1941-01-06T00:49:47, ful,Vega,1941-01-12T23:06:29,lit,99.5030,dec,15.7045,ra,115.228 ,ovr:,-7.58 day,150.71
1941-12-15T12:00:00, mset,-12-16 14:50:02, gib,1941-12-26T00:35:33, ful,Vega,1942-01-01T23:50:43,lit,99.3787,dec,17.6734,ra,88.4835 ,ovr:,8.386 day,139.47
1943-01-02T12:00:00, mset,-01-03 13:49:15, gib,1943-01-14T01:10:49, ful,Vega,1943-01-20T22:37:01,lit,99.7195,dec,18.0741,ra,111.313 ,ovr:,-6.53 day,158.23
1943-12-23T12:00:00, mset,-12-24 14:20:08, gib,1944-01-03T00:16:17, ful,Vega,1944-01-09T23:21:15,lit,99.7704,dec,19.7562,ra,99.2493 ,ovr:,0.200 day,146.99
1945-01-09T12:00:00, mset,-01-10 13:22:51, gib,1945-01-22T01:55:58, ful,Vega,1945-01-28T22:03:36,lit,99.4938,dec,18.3786,ra,134.511 ,ovr:,-23.0 day,166.74
1945-12-31T12:00:00, mset,-01-01 14:28:49, gib,1946-01-11T00:30:51, ful,Vega,1946-01-17T22:47:50,lit,99.7884,dec,22.2179,ra,118.447 ,ovr:,-14.2 day,155.50
1946-12-20T12:00:00, mset,-12-21 14:30:60, gib,1947-01-01T00:37:39, ful,Vega,1947-01-07T23:28:08,lit,98.9409,dec,24.0206,ra,113.550 ,ovr:,-12.1 day,145.26
1948-01-08T12:00:00, mset,-01-09 14:10:32, gib,1948-01-19T00:08:47, ful,Vega,1948-01-25T22:18:21,lit,99.6774,dec,24.7648,ra,116.499 ,ovr:,-14.6 day,163.02
1948-12-27T12:00:00, mset,-12-28 13:54:38, gib,1949-01-08T01:01:00, ful,Vega,1949-01-14T22:56:41,lit,99.8357,dec,25.9484,ra,111.467 ,ovr:,-12.0 day,152.77
1949-12-17T12:00:00, mset,-12-18 14:12:33, gib,1949-12-28T00:56:07, ful,Vega,1950-01-03T23:42:53,lit,99.7184,dec,26.4677,ra,108.376 ,ovr:,-10.4 day,141.53
1951-01-04T12:00:00, mset,-01-05 13:02:11, gib,1951-01-16T02:05:32, ful,Vega,1951-01-22T22:29:10,lit,99.8496,dec,24.5359,ra,117.183 ,ovr:,-14.9 day,160.29
1951-12-25T12:00:00, mset,-12-26 13:24:55, gib,1952-01-05T01:35:30, ful,Vega,1952-01-11T23:13:24,lit,99.8820,dec,25.7583,ra,104.867 ,ovr:,-7.71 day,149.05
1952-12-13T12:00:00, mset,-12-14 13:26:06, gib,1952-12-24T00:27:53, ful,Vega,1952-12-30T23:57:38,lit,99.9022,dec,26.0251,ra,91.4510 ,ovr:,0.148 day,137.81
