----- sTable
Date,nDay,Sunset,Sunrise,Moonrise,Moonset,MOON_when,illumination,ra,dec,TIME_when,illumination,ra,dec,VEGA_when,illumination,ra,dec
1027-12-31T12:00:00,2096534,16.16361111111111,32.09916666666667,8.046666666666667,17.461111111111112,1027-12-31T17:27:40,0.9848442077636719,-48.96908338613958,-13.683279767442762,1028-01-01T00:00:00,1.6112645864486694,-45.42807851284574,-12.576127592143232,1027-12-31T23:05:10,1.5027495622634888,-45.99290228251833,-12.722708448519235
1028-01-01T12:00:00,2096535,16.184444444444445,32.09222222222222,8.58388888888889,18.472777777777775,1028-01-01T18:28:22,3.7239675521850586,-36.89147914864145,-10.159110632811457,1028-01-02T00:00:00,4.68632698059082,-34.00607305573611,-9.153034770058678,1028-01-01T23:01:14,4.488009452819824,-34.58352147821673,-9.326303241957497
1028-01-02T12:00:00,2096536,16.20611111111111,32.08416666666667,9.050555555555556,19.502777777777776,1028-01-02T19:30:10,8.233479499816895,-25.114121233429145,-6.252855220583255,1028-01-03T00:00:00,9.329487800598145,-22.82982596767315,-5.413567511901062,1028-01-02T22:57:18,9.044273376464844,-23.418150867351166,-5.605849553175285
1028-01-03T12:00:00,2096537,16.228055555555553,32.07555555555555,9.466944444444444,20.541111111111114,1028-01-03T20:32:28,14.346543312072754,-13.498394675336568,-2.1254915282296376,1028-01-04T00:00:00,15.394912719726562,-11.768314051507074,-1.4898813204819195,1028-01-03T22:53:22,15.030624389648438,-12.36797542350571,-1.6925593115974942
1028-01-04T12:00:00,2096538,16.250833333333333,32.06583333333333,9.851944444444444,21.586666666666666,1028-01-04T21:35:12,21.869274139404297,-1.8720658833325305,2.070847709156523,1028-01-05T00:00:00,22.717233657836914,-0.6670654420798644,2.490739281050454,1028-01-04T22:49:26,22.285791397094727,-1.2802150858642036,2.2868637473990385
1028-01-05T12:00:00,2096539,16.273888888888887,32.05555555555556,10.223611111111111,22.64388888888889,1028-01-05T22:38:38,30.5867919921875,9.958947585218834,6.186097957245415,1028-01-06T00:00:00,31.1129207611084,10.644452184950122,6.399787619060484,1028-01-05T22:45:30,30.629241943359375,10.01420975277469,6.204252207521823
1028-01-06T12:00:00,2096540,16.297777777777778,32.04416666666667,10.599722222222223,23.72,1028-01-06T23:43:12,40.25867462158203,22.199566455767005,10.060729636765375,1028-01-07T00:00:00,40.3741340637207,22.34473335627425,10.098381153723286,1028-01-06T22:39:36,39.84313201904297,21.67769812284606,9.916583119566745
1028-01-07T12:00:00,2096541,16.321944444444444,32.03194444444445,10.999444444444444,24.82111111111111,1028-01-08T00:49:16,50.601505279541016,35.04849550197815,13.512265761764999,1028-01-08T00:00:00,50.25419616699219,34.607844476987594,13.426710696879908,1028-01-07T22:37:38,49.71963882446289,33.93083793208493,13.278051867554934
1028-01-08T12:00:00,2096542,16.34638888888889,32.01888888888889,11.444722222222222,25.948333333333334,1028-01-09T01:56:54,61.2598762512207,48.66876935239615,16.325077505892224,1028-01-09T00:00:00,60.44523620605469,47.58134153677384,16.195842609112752,1028-01-08T22:33:42,59.91525650024414,46.87554464978235,16.086588692638376
1028-01-09T12:00:00,2096543,16.371666666666666,32.005,11.963888888888889,27.09111111111111,1028-01-10T03:05:28,71.77086639404297,63.13971737196685,18.252383349091307,1028-01-10T00:00:00,70.55152893066406,61.35111633384453,18.18769491428653,1028-01-09T22:29:46,70.04821014404297,60.61522848230185,18.12869828867475
1028-01-10T12:00:00,2096544,16.397222222222222,31.990277777777777,12.590555555555556,28.220555555555556,1028-01-11T04:13:14,81.53902435302734,78.40002712254942,19.043378837018796,1028-01-11T00:00:00,80.06879425048828,75.8989589292328,19.17226458581016,1028-01-10T22:25:50,79.61602783203125,75.1341865972235,19.17362133956107
1028-01-11T12:00:00,2096545,16.423055555555557,31.974722222222223,13.361944444444443,29.2925,1028-01-12T05:17:33,89.85372161865234,94.22008013411357,18.50202296050456,1028-01-12T00:00:00,88.38549041748047,91.07244197801532,18.948753884553557,1028-01-11T22:21:54,88.00959777832031,90.28221057879315,19.01852583101216
1028-01-12T12:00:00,2096546,16.449444444444445,31.95861111111111,14.307777777777778,30.259444444444444,1028-01-13T06:15:34,95.9735336303711,110.24586336368807,16.560472545895394,1028-01-13T00:00:00,94.82685089111328,106.5985342014653,17.405585605057826,1028-01-12T22:17:58,94.55674743652344,105.78623374190282,17.54832330810183
1028-01-13T12:00:00,2096547,16.47583333333333,31.941666666666666,15.430277777777777,31.094444444444445,1028-01-14T07:05:40,99.2715835571289,126.11945475603828,13.325280457553621,1028-01-14T00:00:00,98.75437927246094,122.15504366370115,14.575569922526654,1028-01-13T22:14:02,98.62077331542969,121.32082405660167,14.791212089945
1028-01-14T12:00:00,2096548,16.502777777777776,31.92388888888889,16.695,31.799444444444443,1028-01-15T07:47:58,99.38270568847656,141.59494718207327,9.066227871069694,1028-01-15T00:00:00,99.70608520507812,137.46916110037893,10.6546306303994,1028-01-14T22:10:07,99.73873138427734,136.60757336571683,10.938007817738178
1028-01-15T12:00:00,2096549,16.530277777777776,31.905277777777776,18.040277777777778,32.39861111111111,1028-01-16T08:23:55,96.29314422607422,156.58354077659976,4.1574281449682475,1028-01-16T00:00:00,97.5258560180664,152.38631142946824,5.970118441626636,1028-01-15T22:06:11,97.7488021850586,151.48575402008868,6.3109900436631055
