----- sTable
Date,nDay,Sunset,Sunrise,Moonrise,Moonset,MOON_when,illumination,ra,dec,TIME_when,illumination,ra,dec,VEGA_when,illumination,ra,dec
1167-12-31T12:00:00,2147669,16.179722222222225,32.084722222222226,20.863333333333333,34.76416666666667,1168-01-01T10:45:51,75.26022338867188,179.54512022128182,1.8413021728004124,1168-01-01T00:00:00,78.5469741821289,175.3641635461392,4.673418985574726,1167-12-31T23:05:40,78.83761596679688,174.96809280778405,4.887149455551556
1168-01-01T12:00:00,2147670,16.20111111111111,32.07694444444444,22.17666666666667,34.955555555555556,1168-01-02T10:57:20,65.72100830078125,-168.86850858295116,-4.3102433695403715,1168-01-02T00:00:00,69.26042175292969,-172.91541023451825,-1.5370312826956103,1168-01-01T23:01:44,69.62218475341797,-173.34843230175517,-1.2978648761314757
1168-01-02T12:00:00,2147671,16.223333333333333,32.068333333333335,23.427222222222223,35.135555555555555,1168-01-03T11:08:08,55.84268569946289,-157.49603363129128,-10.142636733326198,1168-01-03T00:00:00,59.49471664428711,-161.55437972900754,-7.490258019130794,1168-01-02T22:57:49,59.91965103149414,-162.0375871893404,-7.233633152171753
1168-01-03T12:00:00,2147672,16.245833333333334,32.05888888888889,24.64388888888889,35.321666666666665,1168-01-04T11:19:18,46.00615692138672,-146.0494433183963,-15.477489180059644,1168-01-04T00:00:00,49.66777801513672,-150.26120688660117,-12.995755967813514,1168-01-03T22:53:53,50.144248962402344,-150.80933602522458,-12.731783274471601
1168-01-04T12:00:00,2147673,16.269166666666667,32.04833333333333,25.851666666666667,35.53277777777778,1168-01-05T11:31:58,36.52067947387695,-134.28623662939268,-20.15204767653021,1168-01-05T00:00:00,40.11131286621094,-138.78824299691354,-17.89376350715541,1168-01-04T22:49:57,40.62382125854492,-139.41632410266664,-17.635537270432497
1168-01-05T12:00:00,2147674,16.29277777777778,32.036944444444444,27.065555555555555,35.79138888888889,1168-01-06T11:47:29,27.648025512695312,-122.02595045421693,-24.00042921666137,1168-01-06T00:00:00,31.094192504882812,-126.94451101269621,-22.03281781719357,1168-01-05T22:44:03,31.637832641601562,-127.68572939029154,-21.790783516444115
1168-01-06T12:00:00,2147675,16.31722222222222,32.025,28.282222222222224,36.13,1168-01-07T12:07:48,19.6241397857666,-109.17616770427666,-26.84807735128559,1168-01-07T00:00:00,22.846776962280273,-114.61691858380935,-25.259396906687876,1168-01-06T22:42:05,23.36897087097168,-115.44004391337963,-25.06565658109575
1168-01-07T12:00:00,2147676,16.341944444444444,32.011944444444445,29.47111111111111,36.59388888888889,1168-01-08T12:35:38,12.677009582519531,-95.7631558404225,-28.52083125248588,1168-01-08T00:00:00,15.580090522766113,-101.796854846503,-27.422114951517873,1168-01-07T22:38:09,16.068098068237305,-102.72086414214408,-27.292353363418666
1168-01-08T12:00:00,2147677,16.366944444444446,31.998055555555556,30.56888888888889,37.23777777777778,1168-01-09T13:14:16,7.038635730743408,-81.94556848712413,-28.86899743445461,1168-01-09T00:00:00,9.497252464294434,-88.5967833899548,-28.39066674142679,1168-01-08T22:34:13,9.920930862426758,-89.60883262864222,-28.34565804366151
1168-01-09T12:00:00,2147678,16.3925,31.98361111111111,31.50138888888889,38.10333333333333,1168-01-10T14:06:12,2.950709342956543,-67.99000484571958,-27.801438373387402,1168-01-10T00:00:00,4.796384811401367,-75.23430789796073,-28.08379292916898,1168-01-09T22:30:17,5.124135494232178,-76.30994232671986,-28.139407502881376
1168-01-10T12:00:00,2147679,16.41861111111111,31.968055555555555,-1,39.181666666666665,1168-01-11T15:10:54,0.6572213172912598,-54.201147343976345,-25.321124163891355,1168-01-11T00:00:00,1.6654902696609497,-61.97328553870555,-26.493506209573965,1168-01-10T22:26:21,1.8667248487472534,-63.08208565212251,-26.657184286671594
1168-01-11T12:00:00,2147680,16.445,31.951944444444443,-1,40.40694444444444,1168-01-12T16:24:25,0.3750181198120117,-40.8217525296939,-21.543905658292466,1168-01-12T00:00:00,0.2707761228084564,-49.0421932480318,-23.69240050022611,1168-01-11T22:22:26,0.31903085112571716,-50.15575959438853,-23.961564849461606
1168-01-12T12:00:00,2147681,16.471666666666664,31.935000000000002,-1,41.7,1168-01-13T17:42:00,2.2520196437835693,-27.95065974275948,-16.67918732629801,1168-01-13T00:00:00,0.7409058213233948,-36.569652175075106,-19.8208156449087,1168-01-12T22:18:30,0.6172764897346497,-37.66829919895803,-20.183731996593384
1168-01-13T12:00:00,2147682,16.49888888888889,31.91722222222222,9.147777777777778,17.7,1168-01-13T17:42:00,2.2520222663879395,-27.95065220690027,-16.679164133942145,1168-01-14T00:00:00,3.150273084640503,-24.562026562553783,-15.06285153121587,1168-01-13T22:14:34,2.846447467803955,-25.636866359621678,-15.500862600269093
1168-01-14T12:00:00,2147683,16.52611111111111,31.898888888888887,9.440277777777778,19.00583333333333,1168-01-14T19:00:21,6.335206985473633,-15.526473017344708,-10.9860641850546,1168-01-15T00:00:00,7.504317760467529,-12.916729642372099,-9.624064277365191,1168-01-14T22:10:38,7.024652481079102,-13.96877977073929,-10.114165630864797
1168-01-15T12:00:00,2147684,16.55388888888889,31.879722222222224,9.674166666666666,20.304166666666667,1168-01-15T20:18:15,12.557088851928711,-3.3591349689299776,-4.7370943937540355,1168-01-16T00:00:00,13.728751182556152,-1.4492989377786196,-3.7190184486889466,1168-01-15T22:06:42,13.090838432312012,-2.486996193080118,-4.235841397798292
